2017-03-10T17:45:57.447685 Beam Pointing
time	x0	y0
0.665	965.25	503.82
0.783	965.47	504.11
0.890	965.49	504.14
1.027	965.30	503.47
1.154	965.37	503.05
1.284	965.41	502.29
1.412	965.26	501.94
1.547	964.91	502.31
1.674	964.78	501.86
1.802	965.22	501.46
1.930	964.98	501.17
2.066	965.53	501.82
2.194	965.75	501.82
2.322	965.57	502.24
2.450	965.33	502.25
2.586	965.88	502.75
2.715	965.83	503.29
2.843	965.93	503.28
2.972	965.87	503.73
3.107	965.70	503.28
3.235	965.58	503.44
3.364	965.34	503.00
3.491	965.47	503.13
3.626	966.07	502.92
3.754	965.89	502.25
3.884	965.66	502.35
4.012	966.08	502.17
4.139	966.10	502.11
4.274	966.06	502.03
4.403	966.04	501.95
4.531	966.35	501.90
4.658	966.42	502.00
4.795	966.70	501.72
4.922	966.38	501.88
5.051	966.92	501.57
5.179	966.96	501.49
5.322	966.84	501.51
5.445	966.97	501.44
5.572	966.74	501.44
5.700	966.60	501.33
5.835	966.67	501.09
5.964	966.10	501.29
6.092	966.13	501.05
6.219	966.02	501.40
6.355	966.35	501.38
6.484	966.30	501.72
6.612	966.52	501.83
6.740	966.61	501.99
6.867	966.52	502.17
7.003	966.53	502.28
7.131	966.36	502.01
7.258	966.20	502.50
7.387	965.85	502.60
7.522	965.64	502.35
7.651	965.30	502.26
7.779	965.48	502.15
7.907	965.56	501.72
8.043	965.05	501.71
8.171	964.54	501.70
8.299	964.54	501.32
8.427	964.71	501.17
8.563	964.80	500.98
8.690	965.21	501.06
8.819	965.47	500.92
8.947	965.77	501.08
9.083	966.18	500.84
9.212	966.44	501.38
9.340	966.16	501.45
9.467	966.08	501.47
9.594	965.96	501.26
9.731	966.28	501.47
9.858	966.10	501.40
9.987	965.87	501.31
10.115	965.89	501.51
10.272	966.06	501.73
10.395	965.82	501.99
10.506	965.91	501.59
10.635	966.19	501.45
10.770	966.34	501.40
10.899	966.12	501.55
11.027	966.05	501.69
11.155	966.53	501.74
11.291	966.42	501.92
11.419	966.60	502.01
11.548	966.60	502.13
11.686	966.66	502.31
11.812	966.50	502.23
11.942	966.37	502.05
12.074	966.54	501.82
12.196	966.39	501.90
12.322	966.52	501.66
12.459	966.34	501.80
12.587	966.11	501.90
12.715	966.00	501.92
12.845	965.94	502.10
12.981	965.94	502.00
13.108	966.29	502.14
13.235	966.03	502.10
13.363	965.97	502.58
13.499	965.83	501.79
13.627	965.72	501.66
13.755	965.72	501.68
13.883	965.98	501.31
14.018	965.77	501.75
14.147	965.74	501.71
14.275	965.68	502.14
14.402	965.43	502.19
14.539	965.40	502.17
14.672	965.94	502.38
14.801	966.14	502.51
14.923	966.17	502.58
15.051	966.30	502.88
15.187	966.59	502.88
15.315	966.53	503.07
15.442	966.06	502.47
15.580	965.79	502.53
15.716	965.43	502.31
15.840	965.39	502.66
15.965	965.40	502.42
16.091	965.49	502.03
16.226	964.96	501.92
16.354	965.32	502.08
16.483	965.04	502.02
16.610	965.49	502.17
16.747	965.78	502.69
16.875	966.18	502.72
17.002	965.79	502.90
17.131	965.84	503.33
17.270	965.98	503.27
17.413	965.96	503.32
17.541	965.86	502.63
17.667	965.96	502.69
17.791	965.66	502.30
17.918	965.88	502.55
18.043	965.63	502.36
18.172	965.65	502.00
18.315	965.40	502.16
18.455	965.30	502.32
18.582	965.34	502.39
18.708	965.40	502.78
18.836	965.30	502.75
18.963	965.37	502.91
19.094	965.39	502.66
19.222	965.53	502.49
19.351	965.50	502.88
19.479	965.36	502.79
19.609	965.68	502.98
19.737	965.55	502.67
